,ma30,1/7,1/6,1/5,1/4
45.95,297,,,,
46.0,18555,,,,
46.05,1691,,,,
46.1,3680,,,,
46.15,3361,,,,
46.2,1769,,,,
46.25,1049,,,,
46.3,4314,,,,
46.35,5114,,,,
46.4,9630,,,,
46.45,7728,,,,
46.5,17092,,,,
46.55,17524,,,,
46.6,7429,,,,
46.65,3255,,,,
46.7,3501,,,,
46.75,2163,,,,
46.8,3393,,,,
46.85,2188,,,,
46.9,5301,,,,
46.95,7335,,,,
47.0,12045,,,25.0,59.0
47.05,8852,,,208.0,1780.0
47.1,20934,,,4558.0,3213.0
47.15,18404,,562.0,3734.0,1678.0
47.2,15471,665,2104.0,829.0,1014.0
47.25,16960,2480,2424.0,508.0,574.0
47.3,17869,2938,1288.0,12.0,1128.0
47.35,9613,1204,631.0,,331.0
47.4,12215,604,956.0,,544.0
47.45,18629,1695,1571.0,,941.0
47.5,9331,804,1174.0,,259.0
47.55,8736,346,210.0,,36.0
47.6,13414,284,1486.0,,14.0
47.65,5064,3,,,
47.7,4667,,,,
47.75,1397,,,,
47.8,3044,,,,
47.85,3258,,,,
47.9,2987,,,,
47.95,2478,,,,
48.0,7433,,,,
48.05,4324,,,,
48.1,6858,,,,
48.15,3774,,,,
48.2,441,,,,
48.25,71,,,,
